,Rho,CyclinD,CyclinE,CyclinA,CyclinB,MMP,E-cad,p21,p27,CytochromeC
Metastasis,2,,,,,1,0,,,
Normal Proliferation,,2,2,2,2,,,,,
Abnormal Proliferation,,1,1;2,1;2,1;2,,,,,
Cell Cycle Arrest,,0,,,,,1;2,1;2,1;2,
Cell Cycle Arrest,,,0,,,,1;2,1;2,1;2,
Cell Cycle Arrest,,,,0,,,1;2,1;2,1;2,
Cell Cycle Arrest,,,,,0,,1;2,1;2,1;2,
Cell Cycle Arrest,,0,,,,0;2,,1;2,1;2,
Cell Cycle Arrest,,,0,,,0;2,,1;2,1;2,
Cell Cycle Arrest,,,,0,,0;2,,1;2,1;2,
Cell Cycle Arrest,,,,,0,0;2,,1;2,1;2,
Cell Cycle Arrest,0;1,0,,,,,,1;2,1;2,
Cell Cycle Arrest,0;1,,0,,,,,1;2,1;2,
Cell Cycle Arrest,0;1,,,0,,,,1;2,1;2,
Cell Cycle Arrest,0;1,,,,0,,,1;2,1;2,
Apoptosis,,0,,,,,1;2,,,1
Apoptosis,,,0,,,,1;2,,,1
Apoptosis,,,,0,,,1;2,,,1
Apoptosis,,,,,0,,1;2,,,1
Apoptosis,,0,,,,0;2,,,,1
Apoptosis,,,0,,,0;2,,,,1
Apoptosis,,,,0,,0;2,,,,1
Apoptosis,,,,,0,0;2,,,,1
Apoptosis,0;1,0,,,,,,,,1
Apoptosis,0;1,,0,,,,,,,1
Apoptosis,0;1,,,0,,,,,,1
Apoptosis,0;1,,,,0,,,,,1
Apoptosis,,0,,,,,1;2,,,2
Apoptosis,,,0,,,,1;2,,,2
Apoptosis,,,,0,,,1;2,,,2
Apoptosis,,,,,0,,1;2,,,2
Apoptosis,,0,,,,0;2,,,,2
Apoptosis,,,0,,,0;2,,,,2
Apoptosis,,,,0,,0;2,,,,2
Apoptosis,,,,,0,0;2,,,,2
Apoptosis,0;1,0,,,,,,,,2
Apoptosis,0;1,,0,,,,,,,2
Apoptosis,0;1,,,0,,,,,,2
Apoptosis,0;1,,,,0,,,,,2
