#,Associated Cell Fate,Probabilities,Cln3,MBF,SBF,Cln1-2,Cdh1,Swi5,Cdc20,Clb5-6,Sic1,Clb1-2,Mcm1
69,Stationary G1 phase,0.53538,0,0,0,0,1,0,0,0,1,0,0
385,,0.11584,0,0,1,1,0,0,0,0,0,0,0
1,,0.083624,0,0,0,0,0,0,0,0,0,0,0
581,,0.083414,0,1,0,0,1,0,0,0,1,0,0
5,,0.07864,0,0,0,0,0,0,0,0,1,0,0
65,,0.058598,0,0,0,0,1,0,0,0,0,0,0
517,,0.014525,0,1,0,0,0,0,0,0,1,0,0
101,Excited G1 state,0.004262,0,0,0,0,1,1,0,0,1,0,0
117,M phase,0.0027311,0,0,0,0,1,1,1,0,1,0,0
52,M phase,0.0020889,0,0,0,0,0,1,1,0,0,1,1
56,M phase,0.0020784,0,0,0,0,0,1,1,0,1,1,1
54,M phase,0.0020755,0,0,0,0,0,1,1,0,1,0,1
156,M phase,0.0012447,0,0,0,1,0,0,1,1,0,1,1
905,S phase,0.0011284,0,1,1,1,0,0,0,1,0,0,0
908,G2 phase,0.0011254,0,1,1,1,0,0,0,1,0,1,1
897,Excited G1 state,0.0010471,0,1,1,1,0,0,0,0,0,0,0
965,Excited G1 state,0.00070488,0,1,1,1,1,0,0,0,1,0,0
837,Excited G1 state,0.0007041,0,1,1,0,1,0,0,0,1,0,0
453,,0.00053764,0,0,1,1,1,0,0,0,1,0,0
197,,0.00053645,0,0,0,1,1,0,0,0,1,0,0
85,,0.00053603,0,0,0,0,1,0,1,0,1,0,0
325,,0.00053597,0,0,1,0,1,0,0,0,1,0,0
70,,0.00053591,0,0,0,0,1,0,0,0,1,0,1
1093,Start signal,0.00053591,1,0,0,0,1,0,0,0,1,0,0
